Sidney Poitier,Shelley Winters,Elizabeth Hartman,a patch of blue
Mickey Rourke,Bob Hoskins,Alan Bates,a prayer for the dying
Nick Nolte,Timothy Hutton,Armand Assante,q & a
Audie Murphy,Bill Mauldin,Douglas Dick,the red badge of courage
Doris Day,James Garner,Arlene Francis,the thrill of it all
Rock Hudson,Doris Day,Tony Randall,pillow talk
David Bowie,Rip Torn,Candy Clark,the man who fell to earth
Kurt Russell,Scott Speedman,Michael Michele,dark blue
Stephen Lang,Jeff Daniels,Robert Duvall,gods and generals
Kevin Spacey,Kate Winslet,Laura Linney,the life of david gale
Luke Wilson,Will Ferrell,Vince Vaughn,old school
Bill Nighy,Tom Hollander,Douglas Henshall,the lawless heart
Dean Andrews,Thomas Craig,Joe Duttine,the navigators
Sonja Richter,Nikolaj Lie Kaas,Mads Mikkelsen,open hearts
Ricky Schroder,Chazz Palminteri,Rod Steiger,poolhall junkies
Jet Li,DMX,Kelly Hu,cradle 2 the grave
Jeff Bridges,Edward Furlong,Lucinda Jenney,american heart
Stockard Channing,Jennifer Tilly,Scott Glenn,edie & pen
Michael Emil,Theresa Russell,Tony Curtis,insignificance
Helena Bonham Carter,Cary Elwes,John Wood,lady jane
Lior Ashkenazi,Ronit Elkabetz,Moni Moshonov,late marriage
Mel Brooks,Lesley Ann Warren,Jeffrey Tambor,life stinks
Robert Townsend,Marla Gibbs,Eddie Griffin,the meteor man
Anthony Edwards,Robert Mitchum,Lauren Bacall,mr. north
Ryan Gosling,David Morse,Clea DuVall,the slaughter rule
David Love,Bryan Grant,Harvey B. Dunn,teenagers from outer space
Michael Madsen,Patricia Arquette,Sal Jenco,trouble bound
Jang Hyuk,Shin Min-A,Kim Hyeong-jong,volcano high
Mania Akbari,Amin Maher,Kamran Adl,ten
Steve Martin,Queen Latifah,Eugene Levy,bringing down the house
Bruce Willis,Monica Bellucci,Cole Hauser,tears of the sun
Monica Bellucci,Vincent Cassel,Albert Dupontel,irreversible
Frances McDormand,Christian Bale,Kate Beckinsale,laurel canyon
Juliane Köhler,Merab Ninidze,Sidede Onyulo,nowhere in africa
Glenn Close,Dermot Mulroney,Patricia Clarkson,the safety of objects
Parminder Nagra,Keira Knightley,Jonathan Rhys Meyers,bend it like beckham
Tommy Lee Jones,Benicio del Toro,Connie Nielsen,the hunted
Christina Ricci,Jason Biggs,Anne Heche,prozac nation
Jason Schwartzman,Mickey Rourke,Brittany Murphy,spun
Mohammad Reza Forutan,Golab Adineh,Baran Kosari,under the skin of the city
Jeffrey Hunter,Siobhán McKenna,Hurd Hatfield,king of kings
Angela Winkler,Mario Adorf,Dieter Laser,the lost honor of katharina blum
Elvis Presley,Lizabeth Scott,Wendell Corey,loving you
Cary Grant,Jean Arthur,Ronald Colman,the talk of the town
James Taylor,Warren Oates,Dennis Wilson,two-lane blacktop
Robert De Niro,Danny Aiello,Michael Moriarty,bang the drum slowly
Steve Allen,Donna Reed,Berta Gersten,the benny goodman story
Virginia McKenna,Bill Travers,Geoffrey Keen,born free
Melanie Griffith,John Goodman,Don Johnson,born yesterday
Richard Burton,Peter Firth,Joan Plowright,equus
Salomon Perel,Marco Hofschneider,Julie Delpy,europa europa
Anthony Perkins,Karl Malden,Norma Moore,fear strikes out
James Stewart,June Allyson,Harry Morgan,the glenn miller story
Gérard Depardieu,Andie MacDowell,Bebe Neuwirth,green card
Michael Keaton,Rene Russo,Anthony LaPaglia,one good cop
Amanda Langlet,Arielle Dombasle,Pascal Greggory,pauline at the beach
Nanako Matsushima,Miki Nakatani,Hiroyuki Sanada,ringu
Miki Nakatani,Hitomi Satô,Kyoko Fukada,ringu 2
Shafiq Syed,Hansa Vithal,Chanda Sharma,salaam bombay!
Shirley MacLaine,John McMartin,Ricardo Montalban,sweet charity
Edward James Olmos,Lorraine Bracco,John E. Coleman,talent for the game
Alan Bates,Oliver Reed,Glenda Jackson,women in love
Cuba Gooding Jr.,Horatio Sanz,Roselyn Sánchez,boat trip
Morgan Freeman,Thomas Jane,Jason Lee,dreamcatcher
John Fiedler,Jim Cummings,Andre Stojka,piglet's big movie
Gwyneth Paltrow,Christina Applegate,Candice Bergen,view from the top
Irene Dunne,Cary Grant,Ralph Bellamy,the awful truth
Michael Parks,Ulla Bergryd,Richard Harris,the bible: in the beginning...
Lino Capolicchio,Francesca Marciano,Gianni Cavina,the house with laughing windows
Lena Nyman,Vilgot Sjöman,Börje Ahlstedt,i am curious (yellow)
Paul Bernard,María Casares,Elina Labourdette,les dames du bois de boulogne
Roddy McDowall,Preston Foster,Rita Johnson,my friend flicka
Richard Burton,Jean Simmons,Victor Mature,the robe
Wei Wei Zhao,Qiong Wu,Zhao Tao,unknown pleasures
John Travolta,Connie Nielsen,Samuel L. Jackson,basic
Aaron Eckhart,Hilary Swank,Delroy Lindo,the core
Chris Rock,Bernie Mac,Dylan Baker,head of state
Amanda Bynes,Colin Firth,Kelly Preston,what a girl wants
Robert Duvall,Rubén Blades,Kathy Baker,assassination tango
Victor Rasuk,Judy Marte,Melonie Diaz,raising victor vargas
Jacqueline Bisset,Jean-Pierre Léaud,Jean-Pierre Aumont,day for night
Nick Stahl,Chris Freihofer,Martha Plimpton,eye of god
Humphrey Bogart,Gloria Grahame,Frank Lovejoy,in a lonely place
Burt Reynolds,Theresa Russell,Ned Beatty,physical evidence
Winona Ryder,Rob Lowe,Jason Robards,square dance
John Wayne,Gail Russell,Gig Young,wake of the red witch
Jeff Bridges,John Huston,Anthony Perkins,winter kills
Roberto Benigni,Luigi 'Titta' Benzi,Italo Calvino,fellini: i'm a born liar
Nick Nolte,Tchéky Karyo,Nutsa Kukhianidze,the good thief
Vin Diesel,Larenz Tate,Timothy Olyphant,a man apart
Colin Farrell,Kiefer Sutherland,Forest Whitaker,phone booth
Jeanne Moreau,Aymeric Demarigny,Christiane Rorato,cet amour-là
Kouichi Yamadera,Unshō Ishizuka,Aoi Tada,cowboy bebop: the movie
Eddie Griffin,Joe Howard,Matthew Brent,dysfunktional family
Billy Bob Thornton,Morgan Freeman,Holly Hunter,levity
Markku Peltola,Kati Outinen,Juhani Niemelä,the man without a past
Adam Sandler,Jack Nicholson,Luis Guzmán,anger management
Parry Shen,Jason Tobin,Sung Kang,better luck tomorrow
Bill Paxton,John Broadwater,James Cameron,ghosts of the abyss
Sid Haig,Bill Moseley,Sheri Moon Zombie,house of 1000 corpses
Oksana Akinshina,Artyom Bogucharsky,Lyubov Agapova,lilya 4-ever
Molly Parker,Rebecca Jenkins,Stacy Smith,marion bridge
Mark Ruffalo,Maya Stange,Kathleen Robertson,xx/xy
Seann William Scott,Jaime King,Karel Roden,bulletproof monk
Roselyn Sánchez,Sofía Vergara,Jaci Velasquez,chasing papi
Bob Balaban,Christopher Guest,John Michael Higgins,a mighty wind
Sigourney Weaver,Jon Voight,Tim Blake Nelson,holes
Jamie Kennedy,Taye Diggs,Anthony Anderson,malibu's most wanted
Søren Pilmark,Ulrich Thomsen,Mads Mikkelsen,flickering lights
Peter Graves,Peggie Castle,Morris Ankrum,beginning of the end
Edward Furlong,Frank Langella,T. Ryder Smith,brainscan
Oskar Werner,Julie Christie,Cyril Cusack,fahrenheit 451
Jeff Tweedy,John Stirratt,Leroy Bach,i am trying to break your heart
Lee Marvin,Fredric March,Robert Ryan,the iceman cometh
Robert Redford,Debra Winger,Daryl Hannah,legal eagles
Beau Bridges,Stockard Channing,Robert Sean Leonard,married to it
Billy Crystal,Alan King,JoBeth Williams,memories of me
Christopher Gorham,Anne Hathaway,Joe Folau,the other side of heaven
Michael Palin,Maggie Smith,Richard Griffiths,a private function
Kirstie Alley,Bill Pullman,Carrie Fisher,sibling rivalry
Kathleen Turner,Dennis Quaid,Fiona Shaw,undercover blues
Goldie Hawn,Swoosie Kurtz,Woody Harrelson,wildcats
Diana Ross,Michael Jackson,Nipsey Russell,the wiz
Jean-Paul Belmondo,Claudia Cardinale,Jess Hahn,swords of blood
Kim Basinger,Alec Baldwin,Robert Loggia,the marrying man
Woody Allen,Bette Midler,Bill Irwin,scenes from a mall
Edward Burns,Rachel Weisz,Моррис Честнат,confidence
John Cusack,Ray Liotta,Amanda Peet,identity
Michael Douglas,Kirk Douglas,Rory Culkin,it runs in the family
Matt Dillon,James Caan,Natascha McElhone,city of ghosts
Julie Christie,Sydney Pollack,Francis Ford Coppola,a decade under the influence
Yuliya Vysotskaya,Sultan Islamov,Stanislav Varkki,house of fools
Joseph Gordon-Levitt,Don Cheadle,Elden Henson,manic
Al Pacino,Kim Basinger,Ryan O'Neal,people i know
Hilary Duff,Adam Lamberg,Hallie Todd,the lizzie mcguire movie
Patrick Stewart,Hugh Jackman,Ian McKellen,x2
Margaret Colin,Agnes Bruckner,David Strathairn,blue car
Javier Bardem,Juan Diego Botto,Laura Morante,the dancer upstairs
Philip Seymour Hoffman,Minnie Driver,John Hurt,owning mahowny
Eddie Murphy,Jeff Garlin,Steve Zahn,daddy day care
Jean Rochefort,Johnny Hallyday,Pascal Parmentier,man on the train
Rufus Thomas,Carla Thomas,Isaac Hayes,only the strong survive
Paul Rudd,Gretchen Mol,Rachel Weisz,the shape of things
Tomás Milián,Manny Pérez,Danny Hoch,washington heights
Victoria Abril,Hilmir Snær Guðnason,Hanna María Karlsdóttir,101 reykjavik
Michael Douglas,Alyson Reed,Audrey Landers,a chorus line
Eddie O'Connell,Patsy Kensit,David Bowie,absolute beginners
Guy Davis,Jon Chardiet,Rae Dawn Chong,beat street
Lucinda Dickey,Adolfo Quinones,Michael Chambers,breakin' 2: electric boogaloo
Lucinda Dickey,Adolfo Quinones,Michael Chambers,breakin'
Keiko Yokozawa,Mayumi Tanaka,Minori Terada,castle in the sky
Uma Thurman,Gena Rowlands,Juliette Lewis,hysterical blindness
John Edward Peck,Melora Hardin,Adolfo Quinones,lambada
George Peppard,Alan Ladd,Carroll Baker,the carpetbaggers
Gene Kelly,Mitzi Gaynor,Kay Kendall,les girls
Burt Lancaster,Kirk Douglas,Rhonda Fleming,gunfight at the o.k. corral
Kathryn Grayson,Howard Keel,Ann Miller,kiss me kate
Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne,the matrix reloaded
Wei-Qiang Zhang,Tara Birtwhistle,David Moroni,dracula: pages from a virgin's diary
Renée Zellweger,Ewan McGregor,Sarah Paulson,down with love
Jack Angstreich,Eric Chadbourne,Bill Heidbreder,cinemania
Greg Lauren,Chris Gartin,Rebecca Creskoff,friends and family
Romain Duris,Audrey Tautou,Kelly Reilly,the spanish apartment
Veronica Taylor,Rachael Lillis,Eric Stuart,pokémon heroes: latios and latias
Jim Carrey,Jennifer Aniston,Philip Baker Hall,bruce almighty
Valeria Golino,Vincenzo Amato,Veronica D'Agostino,respiro
Albert Brooks,Ellen DeGeneres,Alexander Gould,finding nemo
Desmond Harrington,Eliza Dushku,Emmanuelle Chriqui,wrong turn
Arnold Friedman,Elaine Friedman,Jesse Friedman,capturing the friedmans
Marieta Severo,Júlia Lemmertz,Maria Luísa Mendonça,the three marias
Yun Tang,Hong Chen,Liu Peiqi,together
Paul Walker,Tyrese Gibson,Eva Mendes,2 fast 2 furious
Adrien Brody,Charlotte Ayanna,Jon Seda,love the hard way
Keisha Castle-Hughes,Rawiri Paratene,Vicky Haughton,whale rider
Steve McQueen,Karl Malden,Brian Keith,nevada smith
Fred Astaire,Cyd Charisse,Janis Paige,silk stockings
Dean Jones,Harry Morgan,Keenan Wynn,snowball express
Richard Harris,Judith Anderson,Jean Gascon,a man called horse
Sandrine Kiberlain,Sergio Castellitto,Aurore Clément,for sale
John Wayne,Richard Boone,Maureen O'Hara,big jake
William Campbell,Luana Anders,Bart Patton,dementia 13
Françoise Rosay,Louis Jouvet,Jean-Louis Barrault,drole de drame
Steve McQueen,Siegfried Rauch,Elga Andersen,le mans
Ann Finnell,Patrick McGuinness,James Williams,murder on a sunday morning
John Wayne,Jorge Rivero,Jennifer O'Neill,rio lobo
Linus Roache,Danielle Cormack,Ian Bliss,siam sunset
Burt Lancaster,Janet Landgard,Kim Hunter,the swimmer
Alberto Sordi,Leopoldo Trieste,Giulietta Masina,the white sheik
Adrienne Barbeau,Harvey Keitel,Ramy Zada,two evil eyes
Cary Grant,Samantha Eggar,Jim Hutton,walk don't run
James Stewart,Arthur Kennedy,Rock Hudson,bend of the river
Richard Pryor,Franklyn Ajaye,Sully Boyar,car wash
Rock Hudson,Gina Lollobrigida,Sandra Dee,come september
James Stewart,Marlene Dietrich,Mischa Auer,destry rides again
Robert Redford,Jane Fonda,Valerie Perrine,the electric horseman
Judy Garland,Robert Goulet,Red Buttons,gay purr-ee
Marcello Mastroianni,Sergio Rubini,Antonella Ponziani,intervista
George Segal,Tom Courtenay,James Donald,king rat
Pierce Brosnan,Ron Silver,Ben Cross,live wire
Paul Newman,Joanne Woodward,Saundra McClain,mr & mrs bridge
James Stewart,Audie Murphy,Dan Duryea,night passage
James Stewart,Maureen O'Hara,Brian Keith,the rare breed
James Stewart,Doug McClure,Glenn Corbett,shenandoah
Dolly Parton,James Woods,Griffin Dunne,straight talk
Marlon Wayans,Kadeem Hardison,David Paymer,the sixth man
James Stewart,Ruth Roman,Corinne Calvet,the far country
Dinah Sheridan,Bernard Cribbins,William Mervyn,the railway children
Shirley MacLaine,Clint Eastwood,Alberto Morin,two mules for sister sara
James Stewart,Shelley Winters,Dan Duryea,winchester '73
David Bowie,Mick Ronson,Trevor Bolder,ziggy  stardust and the spiders from mars
Van Heflin,Aldo Ray,Mona Freeman,battle cry
Glenn Ford,Shirley Jones,Stella Stevens,the courtship of eddie's father
Errol Flynn,James Brown,William Prince,"objective, burma!"
John Wayne,Patricia Neal,Ward Bond,operation pacific
Robert De Niro,Leonardo DiCaprio,Ellen Barkin,this boy’s life
James Cagney,Annabella,Richard Conte,13 rue madeleine
Cliff Robertson,George Chakiris,Maria Perschy,633 squadron
Jack Palance,Eddie Albert,Lee Marvin,attack
John Turturro,John Goodman,Judy Davis,barton fink
Harry Andrews,Michael Caine,Trevor Howard,battle of britain
Penélope Cruz,Gabino Diego,Ariadna Gil,belle époque
John Wayne,Marguerite Churchill,El Brendel,the big trail
Gary Cooper,Robert Alda,Lilli Palmer,cloak and dagger
John Wayne,Stuart Whitman,Ina Balin,the comancheros
James Garner,Sidney Poitier,Bibi Andersson,duel at diablo
James Stewart,Richard Attenborough,Peter Finch,the flight of the phoenix
Paul Newman,Joanne Woodward,Ted de Corsia,from the terrace
Robert Redford,George Segal,Ron Leibman,the hot rock
Paul Newman,Joanne Woodward,Orson Welles,"the long, hot summer"
Jessica Lange,Armin Mueller-Stahl,Donald Moffat,music box
John Wayne,Stewart Granger,Ernie Kovacs,north to alaska
Michel Duchaussoy,Caroline Cellier,Jean Yanne,this man must die
Kenneth More,Dana Wynter,Carl Möhner,sink the bismarck!
George Peppard,James Mason,Ursula Andress,the blue max
James Mason,Cedric Hardwicke,Jessica Tandy,the desert fox: the story of rommel
Burt Lancaster,Audrey Hepburn,Audie Murphy,the unforgiven
John Wayne,Rock Hudson,Antonio Aguilar,the undefeated
John Waters,Divine,Mary Vivian Pearce,divine trash
Kel Mitchell,Kenan Thompson,Sinbad,good burger
Jenny Runacre,Nell Campbell,Toyah Willcox,jubilee
Denzel Washington,Sarita Choudhury,Roshan Seth,mississippi masala
Louis Jouvet,Simone Renant,Bernard Blier,quai des orfèvres
Melanie Griffith,John Pankow,Tracy Pollan,a stranger among us
John Wayne,George Kennedy,Gary Grimes,cahill u.s. marshal
John Wayne,Forrest Tucker,Christopher George,chisum
Gabriel Byrne,Greta Scacchi,Denholm Elliott,defence of the realm
Sigourney Weaver,Michael Caine,Patrick Kavanagh,half moon street
John Turturro,Massimo Ghini,Rade Serbedzija,the truce
Dana Carvey,James Tolkan,Robert Loggia,opportunity knocks
Tom Berenger,Bob Hoskins,Greta Scacchi,shattered
Jennifer Jones,Vincent Price,Charles Bickford,the song of bernadette
Paul Newman,Jacqueline Bisset,Ned Beatty,the life and times of judge roy bean
Mark Mothersbaugh,Gerald V. Casale,Carl Reiner,the spirit of '76
Julie Andrews,James Fox,Mary Tyler Moore,thoroughly modern millie
Dabney Coleman,Uma Thurman,Joanna Cassidy,where the heart is
Mimi Rogers,Eric Christian Olsen,Luis Guzmán,dumb and dumberer: when harry met lloyd
Kelly Clarkson,Justin Guarini,Brandon Henschel,from justin to kelly
Harrison Ford,Josh Hartnett,Lena Olin,hollywood homicide
E.G. Daily,Nancy Cartwright,Kath Soucie,rugrats go wild
Guy Pearce,Robert Taylor,Rachel Griffiths,the hard word
Helena Bonham Carter,Olivia Williams,Paul Bettany,the heart of me
Jean Reno,Juliette Binoche,Sergi López,jet lag
Laura Harring,Roy Werner,Gerardo Mejía,loco love
Franky G,Leo Minaya,Manuel Cabral,manito
Luke Wilson,Kate Hudson,Sophie Marceau,alex & emma
Glenn Ford,Lee Remick,Stefanie Powers,experiment in terror
Javier Bardem,Federico Luppi,Sílvia Munt,extasis
Gert Fröbe,Orson Welles,Jean-Pierre Cassel,is paris burning?
Peter O'Toole,Philippe Noiret,Siân Phillips,murphy's war
Lillian Gish,Dorothy Gish,Joseph Schildkraut,orphans of the storm
Christopher Lee,Peter Cushing,Michael Coles,the satanic rites of dracula
Claudia Karvan,Naomi Watts,Alice Garner,strange planet
Cillian Murphy,Naomie Harris,Noah Huntley,28 days later
Cameron Diaz,Drew Barrymore,Lucy Liu,charlie's angels: full throttle
Maya Sansa,Regina Orioli,Mariella Valentini,gasoline
Eric Christmas,Harper Roisman,Steve Buscemi,ed and his dead mother
Takashi Sorimachi,Andy Lau,Kelly Lin,fulltime killer
Alison Eastwood,Robert Mailhouse,Jonathan Silverman,just a little harmless sex
Brigitte Mira,El Hedi ben Salem,Barbara Valentin,ali: fear eats the soul
Phoebe Cates,Bridget Fonda,Tim Roth,"bodies, rest & motion"
Richard Widmark,Sidney Poitier,Russ Tamblyn,the long ships
Carole Lombard,James Stewart,Charles Coburn,made for each other
George E. Mather,Esther Furst,Norman Ollestad,ring of terror
Henry Fonda,Sylvia Sidney,Barton MacLane,you only live once
Ingrid Bergman,Yul Brynner,Helen Hayes,anastasia
John Goodman,Kelly McGillis,Trini Alvarado,the babe
Danny Glover,Willem Dafoe,Brad Johnson,flight of the intruder
Robert Taylor,Ava Gardner,Mel Ferrer,knights of the round table
Barbra Streisand,Ryan O'Neal,Paul Sand,the main event
Rock Hudson,Paula Prentiss,Maria Perschy,man's favorite sport?
Tom Selleck,Ken Takakura,Aya Takanashi,mr. baseball
Melina Mercouri,Jules Dassin,George Foundas,never on sunday
Barbra Streisand,Richard Dreyfuss,Maureen Stapleton,nuts
Richard Gere,Sachiko Murase,Hisashi Igawa,rhapsody in august
Gene Wilder,Donald Sutherland,Hugh Griffith,start the revolution without me
Rock Hudson,Gina Lollobrigida,Gig Young,strange bedfellows
Roman Polanski,Isabelle Adjani,Melvyn Douglas,the tenant
Colin Firth,Ian Holm,Donald Pleasence,the advocate
Barbra Streisand,David Selby,Ariane Heller,up the sandbox
Barbra Streisand,Ryan O'Neal,Madeline Kahn,"what's up, doc?"
Eric Bana,Jennifer Connelly,Sam Elliott,hulk
Reese Witherspoon,Sally Field,Regina King,"legally blonde 2: red, white & blonde"
Brad Pitt,Catherine Zeta-Jones,Michelle Pfeiffer,sinbad: legend of the seven seas
Arnold Schwarzenegger,Nick Stahl,Claire Danes,terminator 3: rise of the machines
Johnny Depp,Geoffrey Rush,Orlando Bloom,pirates of the caribbean: the curse of the black pearl
Lázaro Ramos,Marcélia Cartaxo,Flávio Bauraqui,madame satã
Sean Connery,Peta Wilson,Shane West,the league of extraordinary gentlemen
Anni-Kristiina Juuso,Ville Haapasalo,Viktor Bychkov,the cuckoo
Oren Rehany,Tchelet Semel,Saul Stein,the holy land
Jean-Pierre Bacri,Brigitte Catillon,Jacques Frantz,the housekeeper
Romola Garai,Rose Byrne,Tara Fitzgerald,i capture the castle
Georges Corraface,Concha Velasco,Carlos Fuentes,km. 0
James Woods,Nick Nolte,Claire Forlani,northfork
Martin Lawrence,Will Smith,Jordi Mollà,bad boys ii
Mandy Moore,Trent Ford,Allison Janney,how to deal
